6.2	1.8	11.3	4.6	0.0	0.0	0.0	0.0	0.2	0.0	7.6	5.6
8.7	10.6	6.7	11.7	7.2	0.0	0.0	0.0	0.0	1.0	4.2	2.9
6.1	2.8	12.5	0.0	0.7	0.0	0.0	0.0	0.0	4.8	3.9	0.0
0.0	7.5	35.2	3.4	7.0	0.0	0.0	0.0	0.0	0.0	2.9	4.5
4.6	8.9	1.8	15.3	0.0	0.0	0.0	0.0	0.0	1.4	10.0	2.6
7.4	0.5	4.6	11.4	1.4	0.0	0.0	0.0	0.0	9.6	1.0	4.1
3.6	3.0	8.6	0.3	0.2	0.0	0.0	0.0	0.0	9.8	4.4	29.4
15.9	5.5	6.7	0.9	0.0	0.0	0.0	0.0	0.0	3.0	2.5	20.9
3.1	5.1	5.4	2.9	3.4	0.0	0.0	0.0	0.0	0.0	1.7	10.3
4.9	0.0	13.8	7.4	0.0	0.0	0.0	0.0	0.0	17.2	9.3	11.1
2.6	5.8	12.8	0.5	1.3	0.0	0.0	0.0	0.0	0.0	1.5	3.3
8.0	5.3	2.5	1.2	1.0	0.0	0.0	0.0	0.0	8.5	4.5	16.5
4.9	20.2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.5	1.7	5.2
4.6	14.1	23.5	20.4	3.4	0.0	0.0	0.0	0.0	1.4	2.0	4.7
14.3	3.3	6.0	5.6	1.1	0.0	0.0	0.0	0.0	0.0	4.0	12.0
